number,business_x,business_y,customer_x,customer_y,start_time,end_time,pickup_time,cluster_id
2100076123864467261,121.571186,39.149932,121.577454,39.153371,1583121852,1583124161,1583122783,0
2100076124299560534,121.568095,39.149675,121.586884,39.152431,1583122212,1583125367,1583123211,0
2100076125559555136,121.566356,39.149935,121.589114,39.150901,1583122630,1583125998,1583124019,0
2100076124705293969,121.565643,39.144906,121.596794,39.150421,1583122752,1583126425,1583123608,0
2100076125878126225,121.565643,39.144906,121.569664,39.149461,1583122871,1583125165,1583124328,0
2100076125634233747,121.564227,39.142109,121.588894,39.150021,1583123350,1583126119,1583123854,0
2100076121637062485,121.591227,39.215693,121.593264,39.220741,1583121255,1583124419,1583121989,0
2100076122211943945,121.591399,39.217711,121.595244,39.215361,1583121256,1583124988,1583122772,0
2100076121297290479,121.593322,39.214858,121.598024,39.221081,1583121376,1583124594,1583122242,0
2100076122250020570,121.59099,39.215471,121.602224,39.216211,1583121376,1583124541,1583122037,0
2100076122921371145,121.591399,39.217711,121.596274,39.215341,1583121375,1583124715,1583122923,0
2100076122544310162,121.591323,39.217697,121.598754,39.213621,1583121436,1583124758,1583122658,0
2100076120355538313,121.786049,39.148548,121.783004,39.149181,1583121089,1583122845,1583121766,0
2100076123870103318,121.786213,39.147029,121.766984,39.144041,1583121929,1583123871,1583122732,0
2100076122721421141,121.799583,39.145021,121.761334,39.158711,1583122110,1583125086,1583123052,0
2100076124374009685,121.799583,39.145021,121.762364,39.158491,1583122349,1583125401,1583123367,0
2100076099018491318,121.687477,39.14079,121.639134,39.155071,1583109550,1583112600,1583108489,0
2100076098503542198,121.687477,39.14079,121.638614,39.156311,1583109550,1583112600,1583108489,0
2100076100313384374,121.687477,39.14079,121.635774,39.144351,1583109551,1583113500,1583108989,0
2100076112144041663,121.563794,39.149832,121.562964,39.137381,1583118790,1583121826,1583119367,0
2100076114720588864,121.566356,39.149935,121.564034,39.132861,1583119151,1583122145,1583120166,0
2100076115063572113,121.565643,39.144906,121.561714,39.140201,1583119331,1583121155,1583119838,0
2100076116192921233,121.565643,39.144906,121.566594,39.143541,1583120052,1583121870,1583120553,0
2100076119937090576,121.563785,39.142171,121.551914,39.142651,1583120835,1583123015,1583121515,0
2100076119110026256,121.563785,39.142171,121.564044,39.142411,1583120834,1583123123,1583121684,0
2100076122408093539,121.553204,39.142561,121.546684,39.139351,1583121972,1583124027,1583123008,0
2100076125256583011,121.553204,39.142561,121.555914,39.145081,1583122932,1583124642,1583123563,0
2100076126236935394,121.549914,39.150209,121.550024,39.133561,1583122991,1583125549,1583123997,0
2100076127810094947,121.553204,39.142561,121.553204,39.145281,1583123231,1583125198,1583124119,0
2100076063754094547,121.618134,39.145837,121.623934,39.132361,1583113704,1583116200,1583051786,0
2100076097728448467,121.618134,39.145837,121.628184,39.136331,1583113704,1583116200,1583092913,0
2100076101606115283,121.618134,39.145837,121.617654,39.135731,1583113944,1583116200,1583111851,0
2100076102232605877,121.612271,39.140496,121.616184,39.153511,1583112504,1583114384,1583113304,0
2100076103490471093,121.612271,39.140496,121.614224,39.148541,1583112504,1583114377,1583113357,0
2100076106446767255,121.562145,39.125239,121.563694,39.123381,1583115919,1583117659,1583116212,0
2100076105548334231,121.562145,39.125239,121.566264,39.124711,1583115919,1583117667,1583116408,0
2100076105060222103,121.562145,39.125239,121.561764,39.122731,1583116039,1583117777,1583116517,0
2100076123189740763,121.594336,39.11172,121.584334,39.125811,1583121908,1583124875,1583123078,0
2100076123497858647,121.593438,39.111851,121.590234,39.125151,1583121789,1583125093,1583123536,0
2100076123680769258,121.592382,39.111677,121.590044,39.118991,1583122508,1583124605,1583123586,0
2100076122322404818,121.670844,39.281411,121.682864,39.288701,1583121719,1583123986,1583122558,0
2100076122753500172,121.689605,39.282514,121.677744,39.278981,1583122260,1583124331,1583123252,0
2100076124851340806,121.690417,39.281996,121.682884,39.278581,1583122439,1583124512,1583123493,0
2100076155842070393,121.609443,39.132829,121.624224,39.122751,1583143078,1583146877,1583144658,0
2100076160652248953,121.609443,39.132829,121.595964,39.140391,1583145118,1583148185,1583146938,0
2100076161609336697,121.609443,39.132829,121.610204,39.127801,1583145118,1583148544,1583147411,0
2100076163844179833,121.609443,39.132829,121.613044,39.132021,1583146318,1583149840,1583147626,0
2100076162623539065,121.609443,39.132829,121.613344,39.129671,1583146318,1583150052,1583147847,0
2100076163951724409,121.609443,39.132829,121.612024,39.136241,1583146318,1583150724,1583148087,0
2100076163357280121,121.609443,39.132829,121.621864,39.147791,1583146618,1583150657,1583148379,0
2100076136411694374,121.752479,39.124151,121.750754,39.125281,1583129504,1583131287,1583130390,0
2100076137311242084,121.75347,39.122253,121.751304,39.124181,1583129744,1583132852,1583129899,0
2100076137322415205,121.752007,39.124229,121.751244,39.124021,1583129804,1583131599,1583130520,0
2100076104242595299,121.649869,39.306394,121.664224,39.311451,1583113328,1583115071,1583113752,0
2100076102944327139,121.649869,39.306394,121.655784,39.305991,1583113929,1583115569,1583113924,0
2100076102043731185,121.649494,39.306508,121.661104,39.304091,1583113928,1583115620,1583114360,0
2100076110031488933,121.598538,39.208117,121.590194,39.225781,1583118729,1583121600,1583119104,0
2100076111710488485,121.598538,39.208117,121.582144,39.236321,1583118428,1583121783,1583119329,0
2100076111177811877,121.598538,39.208117,121.576574,39.231091,1583118428,1583121679,1583119347,0
2100076111811151075,121.596334,39.207911,121.585274,39.230731,1583118788,1583122278,1583119764,0
2100076116207109558,121.631386,39.134184,121.624994,39.135651,1583120089,1583121891,1583120931,0
2100076114179360332,121.629854,39.134711,121.621094,39.137331,1583120930,1583123400,1583121202,0
2100076116997604677,121.630624,39.134761,121.618884,39.139311,1583119729,1583122174,1583120977,0
2100076124008646586,121.631078,39.140265,121.628734,39.137121,1583122130,1583124501,1583123002,0
2100076123340080756,121.628645,39.134531,121.634184,39.131651,1583122550,1583124695,1583123435,0
2100076125219522164,121.628645,39.134531,121.630744,39.135811,1583122669,1583124430,1583123710,0
2100076127375754868,121.628645,39.134531,121.640944,39.134391,1583122850,1583125031,1583123652,0
2100076123064927682,121.614769,39.144376,121.622994,39.135351,1583121927,1583124807,1583122696,0
2100076124047836247,121.609963,39.146199,121.607794,39.133951,1583122229,1583125377,1583122158,0
2100076122450199733,121.612271,39.140496,121.615664,39.132591,1583122106,1583124660,1583123100,0
2100076128740541581,121.614844,39.144421,121.611734,39.139631,1583123846,1583125503,1583124483,0
2100076129144670037,121.61699,39.134057,121.615654,39.141901,1583124566,1583127937,1583125778,0
2100076128870303328,121.607718,39.133945,121.614224,39.147991,1583124745,1583127800,1583126121,0
2100076130397521457,121.609981,39.136723,121.616074,39.156791,1583124565,1583127755,1583125596,0
2100076124162753948,121.748248,39.109182,121.769384,39.135211,1583121844,1583126000,1583122704,0
2100076122112132927,121.754334,39.111021,121.752094,39.123281,1583121965,1583123795,1583122656,0
2100076124537849549,121.757113,39.106946,121.772594,39.133791,1583122324,1583125053,1583123195,0
2100076126121363149,121.757113,39.106946,121.757074,39.125011,1583122384,1583124404,1583123266,0
2100076116728481472,121.616096,39.113456,121.607324,39.114011,1583120205,1583123118,1583121561,0
2100076116464895276,121.616114,39.116551,121.613624,39.111441,1583120266,1583122350,1583120796,0
2100076119308633388,121.616114,39.116551,121.613944,39.111641,1583120686,1583122839,1583121528,0
2100076118834316588,121.616114,39.116551,121.613504,39.111641,1583120865,1583122969,1583121894,0
2100076122809238828,121.616114,39.116551,121.601564,39.111701,1583121165,1583123791,1583122061,0
2100076100341532321,121.556844,39.178741,121.548594,39.172161,1583114095,1583116200,1583111037,0
2100076104454571681,121.556844,39.178741,121.548204,39.169871,1583113375,1583121758,1583114918,0
2100076103865632164,121.560229,39.177853,121.548234,39.172151,1583113255,1583115723,1583114104,0
2100076130036614632,121.602634,39.194701,121.611534,39.206431,1583124661,1583126837,1583124977,0
2100076129856718787,121.602584,39.201833,121.607454,39.193871,1583124302,1583126618,1583125359,0
2100076128913098402,121.608914,39.194533,121.612644,39.203921,1583124661,1583126721,1583125162,0
2100076136999651283,121.605433,39.11827,121.614324,39.115621,1583129446,1583132908,1583130808,0
2100076135778944979,121.605433,39.11827,121.613094,39.113921,1583129446,1583132916,1583130816,0
2100076134820317139,121.605433,39.11827,121.612684,39.114061,1583129445,1583132941,1583130841,0
2100076136127432659,121.605433,39.11827,121.614344,39.115631,1583129446,1583132958,1583130858,0
2100076135785105363,121.605433,39.11827,121.607794,39.116091,1583129446,1583132971,1583130871,0
2100076134832375519,121.606389,39.118254,121.613344,39.119021,1583129445,1583131565,1583130552,0
2100076150982444250,121.585495,39.124916,121.607414,39.129441,1583139485,1583141497,1583139883,0
2100076149629028191,121.602415,39.129656,121.588294,39.129711,1583140805,1583142581,1583141507,0
2100076153456395566,121.589204,39.131658,121.595404,39.135551,1583141945,1583144605,1583143706,0
2100076153489327406,121.589204,39.131658,121.613684,39.143161,1583142006,1583145539,1583143801,0
2100076154169296245,121.589808,39.130695,121.613144,39.145851,1583142187,1583145648,1583143131,0
2100076111021147151,121.57504,39.108142,121.586394,39.092711,1583117945,1583120700,1583118611,0
2100076110717224025,121.568747,39.102675,121.586494,39.083161,1583118606,1583121600,1583119314,0
2100076110977566194,121.575205,39.106846,121.569714,39.101981,1583118666,1583121252,1583119873,0
2100076099457910464,121.70193,39.146261,121.685964,39.151841,1583110889,1583119244,1583114429,0
